"Path","LineNumber","SourceText","Category","Priority","SuggestedKey","Module","Status"
"Core/Models/ApplicationConfiguration.cs","198","从素材列表单击视频文件，可将其添加到视频轨道。","ConfigurationDisplayText","P0","common.applicationConfiguration.line198.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","199","当前模式聚焦视频拼接，音频轨道暂不参与编排。","ConfigurationDisplayText","P0","common.applicationConfiguration.line199.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","207","当前是视频拼接模式，请选择视频素材加入视频轨道。","ConfigurationDisplayText","P0","common.applicationConfiguration.line207.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","210","音频拼接","ConfigurationDisplayText","P0","common.applicationConfiguration.displayName.label","common","Pending"
"Core/Models/ApplicationConfiguration.cs","211","已切换到音频拼接模式。","ConfigurationDisplayText","P0","common.applicationConfiguration.line211.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","212","当前为音频拼接模式，仅可将音频素材添加到音频轨道。","ConfigurationDisplayText","P0","common.applicationConfiguration.line212.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","213","当前模式聚焦音频拼接，视频轨道暂不参与编排。","ConfigurationDisplayText","P0","common.applicationConfiguration.line213.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","214","从素材列表单击音频文件，可将其添加到音频轨道。","ConfigurationDisplayText","P0","common.applicationConfiguration.line214.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","222","当前是音频拼接模式，请选择音频素材加入音频轨道。","ConfigurationDisplayText","P0","common.applicationConfiguration.line222.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","225","音视频合成","ConfigurationDisplayText","P0","common.applicationConfiguration.displayName.label","common","Pending"
"Core/Models/ApplicationConfiguration.cs","226","已切换到音视频合成模式。","ConfigurationDisplayText","P0","common.applicationConfiguration.line226.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","227","当前为音视频合成模式，请分别添加 1 个视频和 1 个音频。","ConfigurationDisplayText","P0","common.applicationConfiguration.line227.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","228","从素材列表单击一个视频文件，可将其放入视频轨道；再次添加会自动替换当前视频。","ConfigurationDisplayText","P0","common.applicationConfiguration.line228.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","229","从素材列表单击一个音频文件，可将其放入音频轨道；再次添加会自动替换当前音频。","ConfigurationDisplayText","P0","common.applicationConfiguration.line229.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","244","视频格式转换","ConfigurationDisplayText","P0","common.applicationConfiguration.line244.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","245","默认优先保留原始视频和音频流，遇到目标封装不兼容时会自动转码为兼容的编码。","ConfigurationDisplayText","P0","common.applicationConfiguration.line245.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","248","视频轨道提取","ConfigurationDisplayText","P0","common.applicationConfiguration.line248.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","249","仅输出视频轨道，不包含音频，对于特定封装会自动转换到兼容的视频编码。","ConfigurationDisplayText","P0","common.applicationConfiguration.line249.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","252","音频轨道提取","ConfigurationDisplayText","P0","common.applicationConfiguration.line252.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","253","默认提取第一条音频轨道，并按所选音频格式输出单独文件。","ConfigurationDisplayText","P0","common.applicationConfiguration.line253.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","256","字幕轨道提取","ConfigurationDisplayText","P0","common.applicationConfiguration.line256.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","257","默认提取第一条字幕轨道；文本字幕会按目标格式输出，图形字幕建议导出为 MKS 以保留原始字幕编码。","ConfigurationDisplayText","P0","common.applicationConfiguration.line257.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","263","兼容性最好，适合常见播放器和移动设备。","ConfigurationDisplayText","P0","common.applicationConfiguration.line263.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","264","封装更宽松，更适合保留原始编码和长视频素材。","ConfigurationDisplayText","P0","common.applicationConfiguration.line264.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","265","适合部分剪辑软件和 Apple 工作流。","ConfigurationDisplayText","P0","common.applicationConfiguration.line265.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","266","传统视频容器，适合老牌软件或基础兼容场景。","ConfigurationDisplayText","P0","common.applicationConfiguration.line266.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","267","适合 Windows 系统和部分老旧播放环境。","ConfigurationDisplayText","P0","common.applicationConfiguration.line267.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","268","兼容 MP4 工作流，适合部分移动设备和 Apple 生态。","ConfigurationDisplayText","P0","common.applicationConfiguration.line268.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","269","适合老的流媒体或特定支持 FLV 的平台。","ConfigurationDisplayText","P0","common.applicationConfiguration.line269.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","270","面向网页和浏览器场景，适合更重视开放媒体格式的分发。","ConfigurationDisplayText","P0","common.applicationConfiguration.line270.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","271","适合封装流媒体或广播侧素材。","ConfigurationDisplayText","P0","common.applicationConfiguration.line271.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","272","适合蓝光或高码率传输场景。","ConfigurationDisplayText","P0","common.applicationConfiguration.line272.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","273","适合传统视频工作流和部分广播参考场景。","ConfigurationDisplayText","P0","common.applicationConfiguration.line273.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","274","同为 MPEG 容器的常见扩展名，适合需要 .mpg 后缀的场景。","ConfigurationDisplayText","P0","common.applicationConfiguration.line274.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","280","兼容性最好，适合常见播放器和移动设备。","ConfigurationDisplayText","P0","common.applicationConfiguration.line280.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","281","封装更宽松，更适合保留高质量剪辑片段。","ConfigurationDisplayText","P0","common.applicationConfiguration.line281.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","282","适合部分剪辑软件和 Apple 工作流。","ConfigurationDisplayText","P0","common.applicationConfiguration.line282.display","common","Pending"
